index,text,label
1,"अकलमंदी दी जीत
इक ध्याड़े, राजे अपने दरबार च सारे ब्राह्मणें गी सद्दा ते गल्लाया, ""मैं इक बड्डी परीक्खा लैना चांदा हां। जेड़ा बी एह परीक्खा च सफल होऐ, उसगी बड्डा इनाम मिलग।"" सारे ब्राह्मणें गी शाही पुरस्कार दी आस हाई, पर राजे दी परीक्खा दा ढंग बड्डा अजीब हा। उसने सारे ब्राह्मणें कोला गल्लाया जे ओह उसगी कुसा ऐसा दस्सन जेड़ा उसगी पूरी चाली समझ च औंदा होऐ ते उसगी परेशान नेईं करदा होऐ। चतुर ब्राह्मण सोचा ते फेर राजे दे कोल गेआ ते गल्लाया, ""महाराज, मैं इक ऐसी कथा सुनाऊंगा जेड़ी तुसें गी समझने च बिल्कुल मुश्कल नेईं होग।"" ब्राह्मण राजे गी इक साधारण कथा सुनाई जिसदे च कोई उलझन नेईं हाई, ते राजे गी कथा समझ च आई ते ओह खुश होआ। चतुर ब्राह्मण राजे गी समझाया जे कदे बी अपनी ताकत दा गलत इस्तेमाल नेईं करना चाहिदा ते अकलमंदी कन्नै फैसला लैना चाहिदा। राजे ब्राह्मण दियां गल्लां सुन्नियां ते महसूस कीता जे ओह अपने आलसपुने दी वजह कन्नै राज दी भलाई आस्तै कुसा नेईं करा दा हा। एसदे मगरोँ, राजे अपनियां आदतां बदल दित्तियां ते अपने राज दा सई ढंगै कन्नै संचालन करना शुरू कीता।",stories
2,"अरब ते ऊँट
इक बंदा अरबी रेगिस्तान गी पार करी लम्बी यात्रा उप्पर निकलने आला हा। यात्रा उप्पर जाने थोंई पैहलें, उसने काफी चिर तक अपना सामान लाइआ।

उसदे बाद उसने सारा जरूरी सामान ऊँट दी पिट्ठ उप्पर लादेआ। जदूँ उसदियाँ सारियाँ तैयारियाँ होई गेईयाँ ते उसने ऊँट थोंई पुच्छेआ, ""तुस चढ़ाई दे रस्ते नाल चलना चाहुँदे ओ या ढलान दे रस्ते नाल?""

ऊँट ने उसदी गल्ल ध्यान नाल सुनी ते अपनी पिट्ठ उप्पर लदे सामान दे बोझ दा अंदाजा लाइआ। किश चिर बाद ऊँट ने पुच्छेआ, ""मालिक, क्या जाने दा कोई मैदानी रस्ता बी ऐ?

जेकर होवे, ते मैं उसी मैदानी रस्ते नाल जाना चाहाँगा। मेरे उप्पर जेह्ड़ा बोझ लदेआ ऐ, उसदे हिसाब नाल मैदानी रस्ता ई ठीक रौगा।""

शिक्षा: अपनी हालत ते सामर्थ्य देखी फैसला करना चाहिदा ऐ — समझदारी च ई भलाई ऐ।",stories
3,"अहसास

रमन अपने स्कूल
ऊंट कन्‍ने अज्ज पिकनिक
जा करदा ऐ ते बड़ा
खुश ऐ। अज्ज सभ
ज्यानें अपने-अपने |
दोस्तें कन्‍ने ग्रुप बनाइये
खाने-पीने दा समान
हद टाफियां, बिस्कूट,
हद चाकलेट बगैरा मंगोआए दे न। पिकनिक उप्पर खाने आस्तै घरै दा
कोई बी चीज बनाइये नेई ही लेनी। इस बारी स्कलै आहलें ज्यानें है
हट आस्तै रुट्टी बनाने दा प्रबंध पिकनिक आहले थाहर गै कीते दा ऐ |
रमन थमां मती उसदी मां खुश ही कीजे हर बारी रमन पिकनिक हर
उप्परा रुष्ट्री आहला डब्बा भन्‍नी आहनदा जां फ्ही उक्‍का गै गोआई
औंदा। इस बारी रमन दी मां गी लग्गा जे स्कलै आहलें खरा कम्म जे
कीता ऐ।रमन जिसले स्कूल पुज्जा तां ओहदे दोस्त पैहलें गै पुज्जी गेदे
हे | अज्ज उंदे च किश मता गै उत्साह हा | बस्सें च बेहिये सब्मे ज्याने 
पिकनिक आस्तै तैह थाहूर रणबीर नैहर दे कढे बने दे पार्क च पुज्जी 
गे | ज्याने पार्क च पुज्जियै बड़े खुश होई गे | पार्क रंग-बरंगे फुल्लें है
ने भरोचे दा हा ते सब्मे अपने-अपने फोन-कैमरें कनन्‍्नै फोटू 
खिच्चन लगी पे। किश घरें दा आंहदी दियें चादरें पर बेहिये मजा 
लैन लगी पे | नैहर बी पानी कन्‍ने भरोची दी ही | हैड्डमास्टर होरें सारे अर
ज्यानें गी समझाया जे कोई बी नैहरा कंढे नेईं जाइ ते जेकर जाना हद
बी होऐ तां अपने-अपने टीचर कननै गै जान | और
रुट्टी बनने च अजें बड़ा समां हा ते ज्याने अपने कन्‍ने खेढने आस्तै
हर फूटबाल बी लेई गेदे हे। ओह मास्टर होरें गी तंग करन लगे जे है
उननेंगी कन्‍ने लगदे साईस कॉलेज दी ग्रांउड च खेढने आस्तै लेता ज
 मजबूर होइये मास्टर होरें गी उँदी गल्ल मन्ननी पेई | कतारें ,
हर ये किश ज्याने साईंस कॉलेज च पुज्जी गे |
ज्याने साईस कॉलेज च आनिये फटबाल खेढन लगी पे ते 
हद खेढदे-खेढदे समां बी खासा होई गेआ जिसकरी उ.नेंगी भुक्ख हद
उंट लग्गी पेई | भुक्खै करी खेढना उं'दे आस्तै मुहाल होई गेआ ते लगी 
पे इद्धर-उद्धर भड़कन।| चलदे-चलदे उ'नेंगी सड़क कंढे इक ज्र
ढल्लनी दा बूहूटा नजरी पेआ जेहड़ा फलें कनन्‍ने लदोए दा हा। उसी उर
की दिखदे गै उं'दे मुहें च पानी उठी आया | उ'नेंगी कोई तरकीब नेईं का
सुज्झै जे ओह ढल्लें तगर कि'यां पुज्जन ते अपनी सलगी दी भुक्ख
 गटान। नां गै उँदे कोल गलेल ही ते नां गै कोई ऐसा जरि'या हा जे 
ऊट रुक्‍्खे उप्पर चढ़ियै ढलले तोआरी सकदे | बिच्चो-बिच्च बड़े गै दुखी जद
रमन ने रोहै कनन्‍्नै गोपाल गी गलाया- 'केह फैदा ऐ इ'नें फलें 
दा?जद भुक्ख लग्गने पर अस इ'नेंगी खाई बी नेईं सकदे | परमात्मा
है ने इनेंगी इननी दूर लाए दा ऐ। कर्दें-कद्दे परमात्मा बी बे-न्याई
इक ते इन्ना बड़ा रुक्ख ते उस पर लग्गने आहले फल जे
ऊट हों निक्‍के-निक्के, जिनेंगी तौले कीते तोआरेआ बी नेई जाई जे

 गोपाल बोल्लेआ- 'मड़ा परमात्मा ने बी किश-नां-किश ते सोचे दा 
 गै होना ऐ नेईं तां इ'यां नेई होई सकदा | जेकर कद्दूं दी बेल इननी 
पतली जेहड़ी अपना भार बी नेईं सांभी सकदी, ओह एड्डे बड्डे हा
अजें ओह गल्लां करै गै करदे हे जे इन्ने चिरें च ढलले कसे पक्खरू ॥
की ने कुृतरिये भुजां सुट्टे जेहड़े रमन दे सिर पर डिग्गे। त्राह

कनन्‍ने ओहदी चीक निकली गेई। रमन दे मुहँचा निकली गेआ |
ऊत “रमात्मा जे किश बी करदा ऐ ठीक गे करदा ऐ | जेकर इन्‍नी दूरे दा 
|कहूं डिगदा तां सिरे दे दो फाड़ होई जाने हे | इसकरी परमात्मा ने

हट जे किश बी रचे दा ऐ ओहदा बी किश भेत ऐ।",stories
4,"आख़िरी बस

गांव तों शहर जान आह्ली आख़िरी बस शाम साढ़े सात बजे चलदी सी। ओह बस रोज़ाना समय उप्पर नई आंदी, पर ओहदे नाल गांव दी शाम जुड़ी होई सी। बस दे हॉर्न दी आवाज़ सुनियै लोक घड़ियां वेखदे, दुकानां बंद करदे अते रास्ते कन्नै खड़े हो जांदे। सुनीता रोज़ ओस बस दे कन्नै खड़ी होंदी। ओह बस चढ़न लई नई, बस वेखण लई। बस स्टॉप इक छोटे जेहे चबूतरे वांग सी, जिथे टूटा बोर्ड अते इक बेंच पई सी। सुनीता स्कूल तों लौट के किताबां घर रखदी अते सीधा ओथे आ जांदी। मां जानदी सी कि ओह बस स्टॉप वल होवेगी। पिता शहर विच नौकरी करदे सन अते हफ्ते-हफ्ते बाद गांव आंदे। ओह अक्सर इसी आख़िरी बस विच ही घर लौटदे सन। सुनीता बस दी आवाज़ विच पिता दे क़दमां दी आहट ढूंढदी।

बस जद दूरा तों दिखदी, तां धूल उठदी। पहाड़ां दे मोड़ां तों निकल के ओह धीरे-धीरे नजदीक आंदी। लोग लाइन बना के खड़े होंदे। कोई थैला फड़िया होया, कोई पोटली। सुनीता हर चेहरे नूं ध्यान नाल वेखदी, पर पिता अकसर ओस दिन नई होंदे। बस रुकदी, लोक चढ़दे-उतरदे, फेर बस चल पांदी। सुनीता ओथे ही खड़ी रहंदी, जद तक धूल बैठ नई जांदी। फेर ओह घर वल मुड़ जांदी। कई वार पिता अचानक ओस बस विच दिख जांदे। ओस दिन सुनीता सबसे पहले आगे वधदी। पिता मुस्कुरांदे, बैग नीचे रखदे अते कहिंदे, “आज तू सबसे पहले दिखी।” ओह घर तक साथ चलदे। रास्ते विच शहर दी गल्लां होंदियां, दुकानां, सड़कां, अते भीड़। सुनीता ध्यान नाल सुनदी। ओह गल्लां उसनूं बस दे सफ़र वांग लगदियां—थोड़ी देर लई शहर घर अंदर आ जांदा।

इक दिन मौसम बदल गया। आसमान भारी सी, अते हवा विच ठंडक। बस दे समय नजदीक आ के बारिश शुरू हो गई। लोक छतरियां खोल के बस स्टॉप कन्नै खड़े होए। सुनीता वी ओथे सी। बस देर नाल आई। जद ओह रुकी तां भीड़ वध गई। सुनीता ने चेहर्यां विच पिता नूं ढूंढ्या, पर ओह नई दिखे। कंडक्टर ने आवाज़ मारी अते बस आगे चल पई। बारिश तेज़ हो गई। सुनीता थोड़ी देर ओथे खड़ी रही, फेर घर वल मुड़ गई। ओस रात पिता दा फोन आया। ओह अगले हफ्ते आन दी गल्ल कर रहे सन। सुनीता चुपचाप सुनदी रही।

अगले दिनां विच बस फेर रोज़ आई। सुनीता फेर रोज़ बस स्टॉप वल गई। कदे धूप, कदे बादल। कदे भीड़, कदे सन्नाटा। पिता कुछ दिन बाद आए। ओह बस तों उतरे, पर ओह जल्दी विच सन। बस स्टॉप तों घर तक ओह गल्लां कम होईं। शाम ढल गई। अगले दिन पिता वापस चले गए। बस फेर आख़िरी बस बन गई। सुनीता शाम नूं ओथे खड़ी रही। बस आई, रुक्की, चली गई। ओह धूल बैठण तक खड़ी रही। फेर ओह बेंच उप्पर बैठ गई। थोड़ी देर बाद उठी अते घर वल चल पई। रास्ते विच अंधेरा गहरा होण लग्गा। बस दे हॉर्न दी आवाज़ दूरा तों आई, फेर खामोशी छा गई।",stories
5,"आलसी हिरन 

इक हिरनी अपने पुत्तर गी इक बुद्धिमान दे कोल लेई गेई ते उसगी बोली, ""मेरे बुद्धिमान भाई, किरपा करी मेरे पुत्तर गी बी अपनी जान बचाने दी किश तरकीबाँ सिखाई दे, ताँ जे उ कदे संकट च फँसे ते अपनी जान बचाई सकै।""

बड्डा हिरन मन्न गिआ। छोटा हिरन बड्डा शैतान हा ते उसदा मन दूजे बच्चेयाँ दे नाल खेडने च ई लगदा रौंदा हा। जल्दी ई, उ जमात चोंई गायब रौने लग्गा ते उसने बचाव दी किश बी तरकीब नेईं सिक्खी।

इक दिन, खेडदे-खेडदे उ इक जाल च फँसी गिआ। जदूँ उसदी माँ गी एह् पता लग्गा ते उ बड्डा रोई। बड्डा हिरन उसदे कोल गिआ ते उसगी बोला, ""प्यारी बहना, मिगी दुख ऐ जे तेरा बच्चा जाल च फँसी गिआ। मैं उसगी सिखाने दी बड्डी कोशिश कीती ही, पर उ किश सिक्खना ई नेईं चाहुन्दा हा। जेकर किश विद्यार्थी सिक्खना ई नेईं चाहे ते गुरू उसगी केह् करी सिखाई सकदा ऐ।""

शिक्षा: पढ़ाई चोंई जी भज्जोगा, नुकसान तेरा ई होग।",stories
6,"ऊँट दा बदला
इक बारी दी गल्ल ऐ। इक जंगल दे किनारे इक ऊँट रौंदा हा। उसदे नेड़े ई इक लोमड़ी दा घर हा। दोनां च दोस्ती होई गेई।

इक दिन लोमड़ी ने ऊँट गी कैह्आ, ""भाई! दरिया दे उस पार खेतरां च बड्डे मिट्ठे गन्ने लगे न। चलो अस दोनां मिलजुली उत्थें जाईऐ ते खाईऐ।"" ऊँट मनी गिआ। दोनां दरिया तैरी पार गे।

उत्थें लोमड़ी ने गन्ने खाए पर उसदा पेट छोटा हा — जल्दी ई भरी गिआ। ऊँट अजे बी खांदा रेआ किओंजे उसदा पेट बड्डा हा।

लोमड़ी ने सोचेआ जे जेकर देर होई ते किसान जाग जाग ते उन्नाँ गी पकड़ी लैगा। उ तेजी नाल चिल्लाने लगी। किसान जाग गिआ ते उसने डंडा चुकेआ।

ऊँट गी बड्डी मार पेई। दोनां दरिया च कुद्दे। दरिया च ऊँट तैरदा हा ते लोमड़ी उसदी पिट्ठ उप्पर बैठी ही।

ऊँट ने सोचेआ — बदले दा बेला आइआ। दरिया दे बिचकार उसने पिट्ठ गोल-गोल घुमाने लगेआ। लोमड़ी दरिया च डिग्गी गेई ते बड़ी मुश्किल नाल बाहर निकली।

लोमड़ी बोली, ""एह् तूने क्या कीता?"" ऊँट मुस्करांदा होइआ बोलेआ, ""जदूँ तुस खेत च चिल्लाई रेई ही तदूँ मिगी बड्डी मार पेई। मैं ते बस अपनी आदत दे मुताबिक दरिया च गोल-गोल घुमदा रौंदा आँ!""

शिक्षा: जेह्ड़ा बोओगे उहीं कट्टोगे — दूजेयाँ नाल बुरा करने आले गी बुरे दा ई बदला मिलदा ऐ।",stories
7,"एकता च ई बल ऐ
इक बारी दी गल्ल ऐ। कबूतरां दा इक झुंड हा। अपने राजे दे नाल उ खाने दी तलाश च इत्थें-उत्थें उड्डदा रौंदा हा। इक दिन, सारे कबूतर इक जाल च फँसी गे। उन्नाँ जाल थोंई निकलने दी बड्डी कोशिश कीती पर उन्नाँ गी सफलता नेईं मिली।

कबूतरां दे राजे दे मन च इक विचार आइआ। उसने सारे कबूतरां गी कैह् जे जेकर उ सब इकट्ठे उड्डने लेई बल लाण ते उ जाल गी नाल लेई उड्डी सकदे न। सारे कबूतरां उसदी गल्ल मन्नी ते पूरा बल लाई जाल गी नाल लेई उड्डे।

शिकारी ने जदूँ कबूतरां गी जाल दे नाल ई उड्डदे देखेआ ते उ हैरान रेई गिआ। कबूतर उड्डदे-उड्डदे इक चुहे दे कोल पुज्जे। चुहा उन्नाँ दा भरोसेमंद दोस्त हा। चुहे ने फटाफट अपने दाँतां नाल जाल कट्टी दित्ता ते सारे कबूतर आज़ाद होई गे।

शिक्षा: एकता च ई बल ऐ — मिलजुली कोशिश नाल वड्डी थोंई वड्डी मुश्किल बी हल होंदी ऐ।",stories
8,"एनुअल फंक्शन

एनुअल फंक्शन वाले दिन स्कूल आम दिनां तों अलग लग्गा। गेट दे बाहर रंग-बिरंगे गुब्बारे बंधे होए सन, अते ग्राउंड विच बड़ा मंच तैयार होया सी। सुबह-सवेरे बच्चे यूनिफॉर्म दी जगह रंगीन कपड़े पहन के आए। कोई नाच दा ड्रेस पहनेया होया, कोई नाटक दा। अध्यापक एक-एक बच्चे नूं लाइन विच खड़ा करदे, नाम पुकारदे अते बार-बार हिदायतां दे रहे सन। मंच दे पीछे पर्दे लगे होए सन, स्पीकर टेस्ट हो रहे सन, अते माइक तों आवाज़ “चेक, चेक” बार-बार गूंज रही सी। रिया अपनी सहेलियां कन्नै खड़ी सी। ओह नाच वाले ग्रुप विच सी। ड्रेस टाइट लग्गी, पांवां विच घुंघरू बांधे होए सन। ओह बार-बार अपने दुपट्टे नूं ठीक करदी अते सामने बैठे कुर्सियां नूं वेखदी, जिथे थोड़ी देर बाद मेहमान बैठण वाले सन।

दोपहर नजदीक आंंदी गई। ग्राउंड भरन लग्गा। मां-बाप, रिश्तेदार, अते गांव दे लोक कुर्सियां लब्भन लग्गे। कुछ लोक खड़े-खड़े ही बातें करदे रहे। मंच उप्पर पर्दा बंद सी। उद्घोषक ने माइक संभाल्या। राष्ट्रीय गीत हुआ। तालियां वज्जियां। फेर प्रोग्राम शुरू होया। छोटे बच्चे कविता पढ़न आए। आवाज़ कांपदी, पर तालियां मिलदीं। फेर नाटक शुरू होया। पर्दा खुल्या, बच्चे संवाद बोलदे रहे, कोई लाइन भूल गया, कोई जोर नाल बोला। पीछे खड़े अध्यापक इशारे करदे रहे। रिया अते उसदी सहेलियां मंच दे साइड विच इंतजार करदियां रहीं। दिल तेज़ धड़क रया सी। जद उनां दा नां पुकार्या गया, तां सब लाइन बना के मंच उप्पर चढ़ गे। लाइट तेज़ सी। सामने भीड़ दिखदी सी, पर चेहरे साफ़ नई दिखे। म्यूज़िक शुरू होया। पहले कदम थोड़़े हिचकिचाए, फेर ताल मिल गई। घुंघरू दी आवाज़, म्यूज़िक, अते तालियां आपस विच मिल गईं। रिया नाचदी रही। एक पल लई ओह सब भूल गई—ड्रेस, भीड़, डर। बस कदम अते धुन रह गई। नाच खत्म होया। तालियां जोर नाल वज्जियां। रिया ने मंच तों उतर के लंबी सांस लई।

शाम ढलन लगी। प्रोग्राम आगे चल्दा रहा—गीत, भाषण, पुरस्कार वितरण। कुछ बच्चे मंच उप्पर चढ़ के सर्टिफिकेट लैंदे। फोटो खिंचवाए जांदे। रिया अपने मां-बाप नूं भीड़ विच लब्भदी रही। ओह थोड़ी देर बाद मिल गे। मां ने ओसदे बाल ठीक कीते, पिता ने बस एना कहा, “अच्छा कीता।” फंक्शन खत्म होया तां लोग धीरे-धीरे निकलन लग्गे। मंच उप्पर पर्दा बंद हो गया। स्पीकर चुप हो गे। बच्चे ड्रेस बदलन लग्गे। ग्राउंड विच काग़ज़, खाली बोतलां अते गुब्बार्यां दे टुकड़े रह गे। रिया अपने जूत्ते हाथ विच ले के बाहर निकली। अंधेरा बढ़ रया सी। स्कूल दे गेट तों बाहर निकल के ओह एक पल लई रुकी। पीछे मुड़ के मंच वल वेखया। ओथे अब सन्नाटा सी। रिया फेर आगे वल चल पई। घर वल जाते रास्ते विच भीड़ छूट गई। दिन खत्म हो चुक्का सी, पर ओसदे कानां विच म्यूज़िक अजे वी हल्का-हल्का बज रया सी।",stories
9,"एन्रोक्लीज ते शेर
रोम च एन्रोक्लीज नाँ दा गुलाम अपने मालिक थोंई परेशान होई जंगल च भज्जी गिआ। उत्थें उसदी मुलाकात इक घायल शेर नाल होई। शेर बारी-बारी अपना पंजा चुकदा हा।

पैहलें ते एन्रोक्लीज डरेआ फिरी हिम्मत करी उसदे कोल गिआ ते उसदे पंजे च फँसेआ काँडा उसने कड्ढी दित्ता। शेर ने उसदे हत्थां गी चट्टी आभार प्रकट कीता ते फिरी जंगल च चुपचाप चलेआ गिआ।

इक दिन मालिक दे बंदेयाँ ने एन्रोक्लीज गी ढूँढ कड्ढेआ ते पकड़ी सम्राट दे कोल लेई गे। सम्राट ने उसगी भुक्खे शेर दे सामने दित्तने दा हुकम दित्ता।

सारी जनता दे सामने एन्रोक्लीज गी इक खुले मैदान च लिआंदा गिआ। इक भुक्खा शेर दौड़दा होइआ आइआ पर एन्रोक्लीज उप्पर हमला करने दी जगह उसदा हत्थ चट्टने लग्गा। दरअसल एह् उहीं शेर हा जिसदे पंजे थोंई एन्रोक्लीज ने काँडा कड्ढेआ हा। उ एन्रोक्लीज गी पहचानी गिआ हा।

हैरान सम्राट गी एन्रोक्लीज ने पूरी घटना सुनाई। सम्राट ने उसगी माफ करी आज़ाद करी दित्ता ते शेर गी जंगल च छुड़वाई दित्ता।

शिक्षा: सभनाँ दे नाल दयालुता दा भाव रखणा चाहिदा ऐ — नेकी दा बदला नेकी नाल ई मिलदा ऐ।",stories
10,"कच्छू ते खरगोश
इक बारी दी गल्ल ऐ। इक जंगल च इक कच्छू ते इक खरगोश रौंदे हे। खरगोश गी अपनी तेज रफ्तार उप्पर बड्डा घमंड हा। उ हमेशा कच्छू गी चिढ़ांदा रौंदा हा।

इक दिन खरगोश ने कच्छू गी कैह्आ, ""अरे कच्छू भाई! तुस इत्ते धीरे-धीरे चलदे ओ। तेरे नाल दौड़ लाउना ते मेरे लेई बड्डा आसान ऐ।""

कच्छू शांत रेआ ते बोलेआ, ""ठीक ऐ खरगोश भाई! चलो दौड़ लाउंदे आं। जेह्ड़ा पैहलें उस पहाड़ी दे उप्पर पुज्जैग, उ जित्तैग।""

दौड़ शुरू होई। खरगोश तेजी नाल भज्जेआ ते जल्दी ई कच्छू थोंई बड्डा अगे निकली गिआ। रस्ते च उसने सोचेआ, ""कच्छू ते बड्डा धीरे ऐ। मैं थोड़ा आराम करी लैंदा आँ।"" एह् सोची उ इक पेड़ दी छाँव च सोई गिआ।

इत्थें कच्छू धीरे-धीरे पर बिना रुके चलदा रेआ। उ खरगोश दे कोलों लंघेआ। खरगोश गहरी नींद च हा। कच्छू बिना रुके चलदा रेआ ते आखिरकार पहाड़ी दे उप्पर पुज्जी गिआ।

जदूँ खरगोश दी अक्ख खुल्ली ते उ तेजी नाल भज्जेआ पर जदूँ पहाड़ी उप्पर पुज्जेआ ते कच्छू पैहलेयाँ थोंई ई उत्थें बैठेआ हा। खरगोश शर्मिंदा होई गिआ।

शिक्षा: धीरे पर लगातार चलने आला हमेशा जित्तदा ऐ — घमंड ते आलस पतन दा कारण बणदे न।",stories
